lat,lon,anomaly
-90.0,-180.0,3.3918915
-90.0,-178.75,3.3918915
-90.0,-177.5,3.3918915
-90.0,-176.25,3.3918915
-90.0,-175.0,3.3918915
-90.0,-173.75,3.3918915
-90.0,-172.5,3.3918915
-90.0,-171.25,3.3918915
-90.0,-170.0,3.3918915
-90.0,-168.75,3.3918915
-90.0,-167.5,3.3918915
-90.0,-166.25,3.3918915
-90.0,-165.0,3.3918915
-90.0,-163.75,3.3918915
-90.0,-162.5,3.3918915
-90.0,-161.25,3.3918915
-90.0,-160.0,3.3918915
-90.0,-158.75,3.3918915
-90.0,-157.5,3.3918915
-90.0,-156.25,3.3918915
-90.0,-155.0,3.3918915
-90.0,-153.75,3.3918915
-90.0,-152.5,3.3918915
-90.0,-151.25,3.3918915
-90.0,-150.0,3.3918915
-90.0,-148.75,3.3918915
-90.0,-147.5,3.3918915
-90.0,-146.25,3.3918915
-90.0,-145.0,3.3918915
-90.0,-143.75,3.3918915
-90.0,-142.5,3.3918915
-90.0,-141.25,3.3918915
-90.0,-140.0,3.3918915
-90.0,-138.75,3.3918915
-90.0,-137.5,3.3918915
-90.0,-136.25,3.3918915
-90.0,-135.0,3.3918915
-90.0,-133.75,3.3918915
-90.0,-132.5,3.3918915
-90.0,-131.25,3.3918915
-90.0,-130.0,3.3918915
-90.0,-128.75,3.3918915
-90.0,-127.5,3.3918915
-90.0,-126.25,3.3918915
-90.0,-125.0,3.3918915
-90.0,-123.75,3.3918915
-90.0,-122.5,3.3918915
-90.0,-121.25,3.3918915
-90.0,-120.0,3.3918915
-90.0,-118.75,3.3918915
-90.0,-117.5,3.3918915
-90.0,-116.25,3.3918915
-90.0,-115.0,3.3918915
-90.0,-113.75,3.3918915
-90.0,-112.5,3.3918915
-90.0,-111.25,3.3918915
-90.0,-110.0,3.3918915
-90.0,-108.75,3.3918915
-90.0,-107.5,3.3918915
-90.0,-106.25,3.3918915
-90.0,-105.0,3.3918915
-90.0,-103.75,3.3918915
-90.0,-102.5,3.3918915
-90.0,-101.25,3.3918915
-90.0,-100.0,3.3918915
-90.0,-98.75,3.3918915
-90.0,-97.5,3.3918915
-90.0,-96.25,3.3918915
-90.0,-95.0,3.3918915
-90.0,-93.75,3.3918915
-90.0,-92.5,3.3918915
-90.0,-91.25,3.3918915
-90.0,-90.0,3.3918915
-90.0,-88.75,3.3918915
-90.0,-87.5,3.3918915
-90.0,-86.25,3.3918915
-90.0,-85.0,3.3918915
-90.0,-83.75,3.3918915
-90.0,-82.5,3.3918915
-90.0,-81.25,3.3918915
-90.0,-80.0,3.3918915
-90.0,-78.75,3.3918915
-90.0,-77.5,3.3918915
-90.0,-76.25,3.3918915
-90.0,-75.0,3.3918915
-90.0,-73.75,3.3918915
-90.0,-72.5,3.3918915
-90.0,-71.25,3.3918915
-90.0,-70.0,3.3918915
-90.0,-68.75,3.3918915
-90.0,-67.5,3.3918915
-90.0,-66.25,3.3918915
-90.0,-65.0,3.3918915
-90.0,-63.75,3.3918915
-90.0,-62.5,3.3918915
-90.0,-61.25,3.3918915
-90.0,-60.0,3.3918915
