lat,lon,anomaly
-90.0,-180.0,6.5644836
-90.0,-178.75,6.5644836
-90.0,-177.5,6.5644836
-90.0,-176.25,6.5644836
-90.0,-175.0,6.5644836
-90.0,-173.75,6.5644836
-90.0,-172.5,6.5644836
-90.0,-171.25,6.5644836
-90.0,-170.0,6.5644836
-90.0,-168.75,6.5644836
-90.0,-167.5,6.5644836
-90.0,-166.25,6.5644836
-90.0,-165.0,6.5644836
-90.0,-163.75,6.5644836
-90.0,-162.5,6.5644836
-90.0,-161.25,6.5644836
-90.0,-160.0,6.5644836
-90.0,-158.75,6.5644836
-90.0,-157.5,6.5644836
-90.0,-156.25,6.5644836
-90.0,-155.0,6.5644836
-90.0,-153.75,6.5644836
-90.0,-152.5,6.5644836
-90.0,-151.25,6.5644836
-90.0,-150.0,6.5644836
-90.0,-148.75,6.5644836
-90.0,-147.5,6.5644836
-90.0,-146.25,6.5644836
-90.0,-145.0,6.5644836
-90.0,-143.75,6.5644836
-90.0,-142.5,6.5644836
-90.0,-141.25,6.5644836
-90.0,-140.0,6.5644836
-90.0,-138.75,6.5644836
-90.0,-137.5,6.5644836
-90.0,-136.25,6.5644836
-90.0,-135.0,6.5644836
-90.0,-133.75,6.5644836
-90.0,-132.5,6.5644836
-90.0,-131.25,6.5644836
-90.0,-130.0,6.5644836
-90.0,-128.75,6.5644836
-90.0,-127.5,6.5644836
-90.0,-126.25,6.5644836
-90.0,-125.0,6.5644836
-90.0,-123.75,6.5644836
-90.0,-122.5,6.5644836
-90.0,-121.25,6.5644836
-90.0,-120.0,6.5644836
-90.0,-118.75,6.5644836
-90.0,-117.5,6.5644836
-90.0,-116.25,6.5644836
-90.0,-115.0,6.5644836
-90.0,-113.75,6.5644836
-90.0,-112.5,6.5644836
-90.0,-111.25,6.5644836
-90.0,-110.0,6.5644836
-90.0,-108.75,6.5644836
-90.0,-107.5,6.5644836
-90.0,-106.25,6.5644836
-90.0,-105.0,6.5644836
-90.0,-103.75,6.5644836
-90.0,-102.5,6.5644836
-90.0,-101.25,6.5644836
-90.0,-100.0,6.5644836
-90.0,-98.75,6.5644836
-90.0,-97.5,6.5644836
-90.0,-96.25,6.5644836
-90.0,-95.0,6.5644836
-90.0,-93.75,6.5644836
-90.0,-92.5,6.5644836
-90.0,-91.25,6.5644836
-90.0,-90.0,6.5644836
-90.0,-88.75,6.5644836
-90.0,-87.5,6.5644836
-90.0,-86.25,6.5644836
-90.0,-85.0,6.5644836
-90.0,-83.75,6.5644836
-90.0,-82.5,6.5644836
-90.0,-81.25,6.5644836
-90.0,-80.0,6.5644836
-90.0,-78.75,6.5644836
-90.0,-77.5,6.5644836
-90.0,-76.25,6.5644836
-90.0,-75.0,6.5644836
-90.0,-73.75,6.5644836
-90.0,-72.5,6.5644836
-90.0,-71.25,6.5644836
-90.0,-70.0,6.5644836
-90.0,-68.75,6.5644836
-90.0,-67.5,6.5644836
-90.0,-66.25,6.5644836
-90.0,-65.0,6.5644836
-90.0,-63.75,6.5644836
-90.0,-62.5,6.5644836
-90.0,-61.25,6.5644836
-90.0,-60.0,6.5644836
-90.0,-58.75,6.5644836
-90.0,-57.5,6.5644836
-90.0,-56.25,6.5644836
-90.0,-55.0,6.5644836
-90.0,-53.75,6.5644836
-90.0,-52.5,6.5644836
-90.0,-51.25,6.5644836
-90.0,-50.0,6.5644836
-90.0,-48.75,6.5644836
-90.0,-47.5,6.5644836
-90.0,-46.25,6.5644836
-90.0,-45.0,6.5644836
-90.0,-43.75,6.5644836
-90.0,-42.5,6.5644836
-90.0,-41.25,6.5644836
-90.0,-40.0,6.5644836
-90.0,-38.75,6.5644836
-90.0,-37.5,6.5644836
-90.0,-36.25,6.5644836
-90.0,-35.0,6.5644836
-90.0,-33.75,6.5644836
-90.0,-32.5,6.5644836
-90.0,-31.25,6.5644836
-90.0,-30.0,6.5644836
-90.0,-28.75,6.5644836
-90.0,-27.5,6.5644836
-90.0,-26.25,6.5644836
-90.0,-25.0,6.5644836
-90.0,-23.75,6.5644836
-90.0,-22.5,6.5644836
-90.0,-21.25,6.5644836
-90.0,-20.0,6.5644836
-90.0,-18.75,6.5644836
-90.0,-17.5,6.5644836
-90.0,-16.25,6.5644836
-90.0,-15.0,6.5644836
-90.0,-13.75,6.5644836
-90.0,-12.5,6.5644836
-90.0,-11.25,6.5644836
-90.0,-10.0,6.5644836
-90.0,-8.75,6.5644836
-90.0,-7.5,6.5644836
-90.0,-6.25,6.5644836
-90.0,-5.0,6.5644836
-90.0,-3.75,6.5644836
-90.0,-2.5,6.5644836
-90.0,-1.25,6.5644836
-90.0,0.0,6.5644836
-90.0,1.25,6.5644836
-90.0,2.5,6.5644836
-90.0,3.75,6.5644836
-90.0,5.0,6.5644836
-90.0,6.25,6.5644836
-90.0,7.5,6.5644836
-90.0,8.75,6.5644836
-90.0,10.0,6.5644836
-90.0,11.25,6.5644836
-90.0,12.5,6.5644836
-90.0,13.75,6.5644836
-90.0,15.0,6.5644836
-90.0,16.25,6.5644836
-90.0,17.5,6.5644836
-90.0,18.75,6.5644836
-90.0,20.0,6.5644836
-90.0,21.25,6.5644836
-90.0,22.5,6.5644836
-90.0,23.75,6.5644836
-90.0,25.0,6.5644836
-90.0,26.25,6.5644836
-90.0,27.5,6.5644836
-90.0,28.75,6.5644836
-90.0,30.0,6.5644836
-90.0,31.25,6.5644836
-90.0,32.5,6.5644836
-90.0,33.75,6.5644836
-90.0,35.0,6.5644836
-90.0,36.25,6.5644836
-90.0,37.5,6.5644836
-90.0,38.75,6.5644836
-90.0,40.0,6.5644836
-90.0,41.25,6.5644836
-90.0,42.5,6.5644836
-90.0,43.75,6.5644836
-90.0,45.0,6.5644836
-90.0,46.25,6.5644836
-90.0,47.5,6.5644836
-90.0,48.75,6.5644836
-90.0,50.0,6.5644836
-90.0,51.25,6.5644836
-90.0,52.5,6.5644836
-90.0,53.75,6.5644836
-90.0,55.0,6.5644836
-90.0,56.25,6.5644836
-90.0,57.5,6.5644836
-90.0,58.75,6.5644836
-90.0,60.0,6.5644836
-90.0,61.25,6.5644836
-90.0,62.5,6.5644836
-90.0,63.75,6.5644836
-90.0,65.0,6.5644836
-90.0,66.25,6.5644836
-90.0,67.5,6.5644836
-90.0,68.75,6.5644836
-90.0,70.0,6.5644836
-90.0,71.25,6.5644836
-90.0,72.5,6.5644836
-90.0,73.75,6.5644836
-90.0,75.0,6.5644836
-90.0,76.25,6.5644836
-90.0,77.5,6.5644836
-90.0,78.75,6.5644836
-90.0,80.0,6.5644836
-90.0,81.25,6.5644836
-90.0,82.5,6.5644836
-90.0,83.75,6.5644836
-90.0,85.0,6.5644836
-90.0,86.25,6.5644836
-90.0,87.5,6.5644836
-90.0,88.75,6.5644836
-90.0,90.0,6.5644836
-90.0,91.25,6.5644836
-90.0,92.5,6.5644836
-90.0,93.75,6.5644836
-90.0,95.0,6.5644836
-90.0,96.25,6.5644836
-90.0,97.5,6.5644836
-90.0,98.75,6.5644836
-90.0,100.0,6.5644836
-90.0,101.25,6.5644836
-90.0,102.5,6.5644836
-90.0,103.75,6.5644836
-90.0,105.0,6.5644836
-90.0,106.25,6.5644836
-90.0,107.5,6.5644836
-90.0,108.75,6.5644836
-90.0,110.0,6.5644836
-90.0,111.25,6.5644836
-90.0,112.5,6.5644836
-90.0,113.75,6.5644836
-90.0,115.0,6.5644836
-90.0,116.25,6.5644836
-90.0,117.5,6.5644836
-90.0,118.75,6.5644836
-90.0,120.0,6.5644836
-90.0,121.25,6.5644836
-90.0,122.5,6.5644836
-90.0,123.75,6.5644836
-90.0,125.0,6.5644836
-90.0,126.25,6.5644836
-90.0,127.5,6.5644836
-90.0,128.75,6.5644836
-90.0,130.0,6.5644836
-90.0,131.25,6.5644836
-90.0,132.5,6.5644836
-90.0,133.75,6.5644836
-90.0,135.0,6.5644836
-90.0,136.25,6.5644836
-90.0,137.5,6.5644836
-90.0,138.75,6.5644836
-90.0,140.0,6.5644836
-90.0,141.25,6.5644836
-90.0,142.5,6.5644836
-90.0,143.75,6.5644836
-90.0,145.0,6.5644836
-90.0,146.25,6.5644836
-90.0,147.5,6.5644836
-90.0,148.75,6.5644836
-90.0,150.0,6.5644836
-90.0,151.25,6.5644836
-90.0,152.5,6.5644836
-90.0,153.75,6.5644836
-90.0,155.0,6.5644836
-90.0,156.25,6.5644836
-90.0,157.5,6.5644836
-90.0,158.75,6.5644836
-90.0,160.0,6.5644836
-90.0,161.25,6.5644836
-90.0,162.5,6.5644836
-90.0,163.75,6.5644836
-90.0,165.0,6.5644836
-90.0,166.25,6.5644836
-90.0,167.5,6.5644836
-90.0,168.75,6.5644836
-90.0,170.0,6.5644836
